Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Игрофикация в бизнесе и в жизни: преврати рутину в игру!,"Нефедьев И.В., Бронникова М.Д.","В мире, где каждую секунду нас отвлекают десятки уведомлений сразу из нескольких мессенджеров и приложений, где всегда можно ""поразвлечься"" игрой ""три в ряд"", просмотром ленты в соцсетях или роликов на YouTube, самым ценным ресурсом становится внимание. Внимание клиентов, сотрудников, учеников - и даже свое собственное. Как перестать отвлекаться и прокрастинировать? Как поднять мотивацию в отделе продаж? Как заполучить лояльность клиентов? Что делать, если ребенок не хочет учиться? Пока кто-то по старинке пытается мотивировать себя и окружающих методами кнута и пряника, многие уже осваивают инструменты игрофикации. Активно применяют рейтинги, баллы и бейджи. Придумывают игровые миры и миссии. Внедряют виртуальную валюту… И тут же обнаруживают, что пользователи пытаются обмануть систему, уходят или просто не хотят играть. Так как же сделать такую игру, в которую захотят играть именно ваши игроки - во всех сферах жизни? Как обойти грабли замещения внутренней мотивации на внешнюю? Как не наделать всех тех ошибок, о которых нас предостерегает история развития психологии, но которые с таким рвением повторяют многие современные адепты применения геймификации? Как построить правильную, этичную и эффективную игрофицированную систему? Ответы на эти и многие другие вопросы вы найдете в этой книге. Она станет вашим путеводителем по миру игрофикации, вашей настольной книгой Мастера по превращению рутины в игру.",3 800 тг,5,АСТ,2019 г.,9785171102944,Твердый,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133121_1465239.jpeg
Идеализированное проектирование. Создание будущего организации.,Акофф Р.,"Каков наилучший способ осуществить в будущем фундаментальные преобразования? Идеальное решение: надо проектировать от цели. То есть назад, к Вашему нынешнему состоянию. Это и называется идеализированным проектированием. Оно является одной из наиболее мощных используемых технологий. Перед Вами завершенное руководство по этой переломной методологии, написанное ее легендарным создателем, Расселлом Л.Акоффом, и ведущим экспертом по ее применению Джейсоном Магидсоном.",5 700 тг,0,Баланс Бизнес Букс,2007 г.,4820092000407,320,Твердый,215 мм x 145 мм,498 г.,http://www.bookcity.kz/content/images/thumbs/5009665_1329604.jpeg
Идеальная продажа. Когда от одной сделки зависит выполнение годового плана,Ерохин А.А.,"Прошло то время, когда «продажа» или «продавец» были ругательными словами в России. За спекуляции уже не сажают в тюрьму, и людей, которые понимают, что все деньги мира делаются на продажах, становится все больше и больше. Этапы продажи близки по названиям, однако дьявол — в мелочах. И даже зная все эти мелочи, нельзя забывать о факторе исполнительского мастерства. Книга «Идеальная продажа» — об этих мелочах и мастерстве их исполнения. Чтобы из первых уст — от человека, который получил десятки тысяч отказов и заключил тысячи сделок, узнать всю правду о том, как продавать с максимальной вероятностью. Каждая коммерческая организация нуждается в клиентах, и большинству таких организаций требуются крупные клиенты. Но чем они крупнее, тем сложнее их привязать к себе. Если представить, что клиентская база — это вода в сосуде, то она постоянно испаряется, и без должного вливания сосуд опустеет. Именно от тех людей, которые проводят переговоры и заключают крупные сделки,...",5 100 тг,0,Омега-Л,2017 г.,9785921601109,242,Твердый,215 мм x 145 мм,420 г.,http://www.bookcity.kz/content/images/thumbs/5111482_1441157.jpeg
Идеальные преступники,Бернацкий А.С.,"Очередная книга из серии ""Антология невероятных фактов"" раскрывает тайны криминального мира, знакомит с историей преступных организаций с древнейших времен до наших дней. Вы узнаете о гениальных аферах и мошенничествах, самых громких кражах и ограблениях, сенсационных подделках. Отдельная глава книги посвящена компьютерным преступлениям, ставшим настоящим бичом XXI века.",1 500 тг,3,АСТ,2008 г.,9785170487820,352,205 мм x 130 мм,15 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5019873_1341007.jpeg
Идеальный Landing Page. Создаем продающие веб-страницы,Петроченков  А.С.,"Посадочная страница (landing page) - так в Интернете называют те страницы сайта, на которые чаще всего попадают посетители, открывающие сайт из поисковиков. Важность посадочных страниц сложно переоценить: это входные ворота любого сайта, можно даже сказать - витрина веб-ресурса. Как вы уже догадываетесь, посадочные страницы идеально подходят для размещения различной рекламы, баннеров и прочего контента, при помощи которого вы можете зарабатывать в Интернете. Книга, которую вы держите в руках, во всех подробностях исследует подобные страницы. Авторы - профессионалы своего дела - в деталях рассказывают об интернет-маркетинге и о том. как привлекать новых клиентов и удерживать их. как правильно проектировать веб-страницы, какие ошибки чаще всего допускаются при создании посадочных страниц и как их устранять, а также многое другое. Прочитав эту книгу, вы узнаете, как с нуля создать эффективную посадочную страницу и благодаря ей получать от 3 до 80 заказов ежедневно, увеличив продажи через Интернет от 40 до 450 %.",4 000 тг,3,Питер,2019 г.,9785446102921,320,Мягкий,215 мм x 145 мм,255 г.,http://www.bookcity.kz/content/images/thumbs/5128275_1460760.jpeg
Идеальный командный игрок. Как распознать и развить три ключевых качества,Ленсиони П.,"Патрик Ленсиони рассказывает о трех ключевых качествах идеального командного игрока, которые должен развить в себе каждый желающий добиться успеха в работе.
Патрик Ленсиони уверен: наиболее ценное качество для всех, кто хочет преуспеть в современном мире — это умение быть командным игроком. В современном мире способность эффективно работать в связке и создавать ценности в группе крайне важна.
Основываясь на своем 20-летнем опыте работы с лидерами и командами, Ленсиони смог выявить три основополагающих качества, которые делают людей идеальными командными игроками. Эта книга рассказывает о том, что это за качества, и как руководителям выявлять, нанимать и воспитывать подлинных командных игроков. Прочитав ее, вы сможете построить сильную команду, снизить текучку и решить многие важные проблемы, обеспечив бизнесу серьезное преимущество перед конкурентами.",7 200 тг,2,"Манн, Иванов и Фербер",2019 г.,9785001005391,Твердый,17 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132943_1465166.jpeg
Идеальный маркетинг: О чем забыли 98% маркетологов,Давар Н.,"Перед маркетологами всех отраслей вновь и вновь встают вопросы: в чем искать конкурентные преимущества продукта? Как сохранять позиции на рынке? Дешевые клоны появляются как грибы после дождя, и потребители все чаще изменяют известным брендам с менее громкими, но более выгодными аналогами. Инвестиции в разработки новых продуктов и технические инновации все меньше и меньше дают финансовую отдачу. По мнению профессора Нираджа Давара, успех в будущем ждет клиентоориентированный бизнес. На примере различных компаний автор показывает, что самые мощные конкурентные преимущества, которые практически невозможно повторить, лежат на уровне потребителей, а не продукта. В своей книге профессор Давар подробно рассматривает инструменты сбора данных о потребительских интересах и методы их анализа. На примере различных компаний автор показывает, что самые мощные конкурентные преимущества, которые практически невозможно повторить, лежат на уровне потребителей, а не продукта. В своей книге...",5 900 тг,2,Альпина Паблишер,2015 г.,9785961450354,216,Твердый,240 мм x 170 мм,460 г.,http://www.bookcity.kz/content/images/thumbs/5071323_1410876.jpeg
Идеальный порядок за 8 минут: Легкие решения для упрощения жизни и высвобождения времени,Лидс Р.,"Цитата На старт, внимание — выбрасывайте! О чем книга Что если есть способ вносить в свою жизнь постепенные, но устойчивые изменения, занимаясь домашними делами всего по 8 минут в день? Следуйте простому процессу, описанному в книге, и у вас получится разобрать все самые жуткие завалы, а затем с легкостью поддерживать наведенный порядок. Все, что от вас потребуется, — это завести таймер, чтобы навести идеальный порядок за 8 минут! Почему книга достойна прочтения • Книга написана опытнейшим консультантом по созданию комфортного жизненного пространства. • Тратя всего 8 минут в день, вы превратите свое жилище в дом вашей мечты. • Следуя советам книги, вы не только быстро наведете порядок, но и сможете поддерживать его с небывалой легкостью. • Теперь окружающее пространство будет воодушевлять вас, дарить гармонию и заряжать энергией. Для кого эта книга Для всех, кто не желает тратить свое драгоценное время...",4 200 тг,0,Альпина Паблишер,2018 г.,9785961443066,218,Твердый,215 мм x 145 мм,455 г.,http://www.bookcity.kz/content/images/thumbs/5023710_1390950.jpeg
Идеальный руководитель: Почему им нельзя стать и что из этого следует,Адизес И.,"О чем книг. Книга известнейшего в мире специалиста по повышению эффективности организаций посвящена избитому, но в то же время вечно актуальному вопросу - как стать идеальным менеджером. Автор уверяет: идеальным быть попросту невозможно, но можно отшлифовать грани своей личной эффективности и быть эффективным в одной, максимум - в двух областях. Почему книга достойна прочтения:   Неординарный взгляд на привычные догмы менеджмента. Крушение стереотипного подхода к организации рабочего процесса и, как следствие, к достижению поставленных целей.  Тонкая связь менеджмента с отношениями в семье и обществе.  Универсальность описанных четырех функций менеджмента позволяет отнести книгу к любым областям применения. Книга адресована руководителям, сотрудникам кадровых агентств и всем, кого интересуют вопросы...",5 400 тг,5,Альпина Паблишер,2019 г.,9785961456158,272,Мягкий,240 мм x 170 мм,455 г.,http://www.bookcity.kz/content/images/thumbs/5016018_1338888.jpeg
Идеальный руководитель: Почему им нельзя стать и что из этого следует,Адизес И.,"По мнению доктора Адизеса, менеджмент любой организации должен выполнять четыре функции: производство результатов, администрирование, предпринимательство и интеграцию. Для того чтобы осуществлять их одновременно, руководителю необходимо обладать многочисленными, порой взаимоисключающими, качествами. Адизес делает вывод: менеджмент - слишком сложный процесс, чтобы с ним мог справиться один человек. Идеального менеджера просто нет в природе. Как же быть? Чтобы компания была эффективной в ближайшей и долгосрочной перспективе, ею должна руководить команда менеджеров, состоящая из людей с взаимодополняющими стилями управления. По какому принципу подбирать сотрудников в такую команду? Как им правильно строить общение, чтобы даже неизбежные конфликты использовать для принятия качественных решений? На эти и многие другие вопросы отвечает гуру менеджмента Ицхак Калдерон Адизес. Книга адресована руководителям, сотрудникам кадровых агентств и всем, кого интересуют вопросы...",5 600 тг,5,Альпина Паблишер,2019 г.,9785961455892,266,Твердый,240 мм x 170 мм,550 г.,http://www.bookcity.kz/content/images/thumbs/5088637_1427180.jpeg
Идеи - твоя самая твердая валюта. 100 вдохновляющих заданий для развития креативности,Джадкинс Р.,"Истинная, непреходящая наша ценность – идеи. Именно идеи, случайно придуманные кем-либо в гараже, за столиком кафе, в очереди или в маршрутке, двигают прогресс и ставят мир с ног на голову. Именно идеи преображают все – фильмы, книги, дома, одежду, продукты, игрушки, мебель, оружие… Открой глаза! Вокруг так много вещей, нуждающихся в апгрейде с подачи именно твоего творческого гения. Разбуди его с помощью упражнений, разработанных известным лондонским преподавателем творческого мышления Родом Джадкинсом.",3 000 тг,1,Азбука-Аттикус,2017 г.,9785389128071,240,Твердый,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5105820_1442206.jpeg
Из третьего мира в первый. История Сингапура 1965-2000,Ли Куан Ю,"Когда крохотный Сингапур в 1965 году получил независимость, никто не верил, что ему удастся выжить. Однако он не просто выжил, а превратился в процветающую столицу Азиатского региона с лучшим в мире аэропортом, крупнейшей авиалинией, ключевым торговым портом, заняв четвертое место в мире по уровню дохода на душу населения. Об этом чуде в своих мемуарах рассказывает бывший премьер-министр Сингапура Ли Куан Ю. Он оживляет перед читателями историю, анализирует основные стратегические решения современности.",13 000 тг,0,"Манн, Иванов и Фербер",9785001462668,Твердый,35 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133530_1465544.jpeg
Избранные труды Кондратьевского конъюктурного института,"Клюкин П.Н., Рубинштейн А.Я.","В предлагаемом вниманию читателей сборнике малоизвестных страниц отечественной экономической мысли 1920-х гг., связанных с деятельностью Конъюнктурного института при Наркомате финансов Союза ССР, публикуются ценные, в подавляющем большинстве своем не переиздаваемые ранее статьи отечественных экономистов и статистиков - А. Л. Вайнштейна, Я. П. Герчука, В. Я. Железнова, М. В. Игнатьева, Л. М. Ковальской, А. А. Конюса, И. Н. Леонтьева, Д. И. Опарина, Т. И. Райнова, Е. Е. Слуцкого, Н. С.",8 200 тг,0,Экономика,2010 г.,9785282030044,719,240 мм x 170 мм,32 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5036794_1358859.jpeg
"Измени жизнь, оставаясь собой: Личный ребрендинг","Белашева И.,Мужицкая Т.","Современный мир сегодня задает высокую планку. Социальные сети пестрят ""идеальными картинками"" - потрясающих карьер, мам, играючи справляющихся с тремя детьми, бесконечных путешествий, успешного бизнеса и квартир с дизайнерским ремонтом, красивых ужинов в дорогих ресторанах.
Мы хотим быть ""хорошими"", красивыми, хотим ""соответствовать"" и жить по этим же шаблонам, хотим казаться, но не быть.
Психолог Татьяна Мужицкая и журналист Ирина Белашева рассказывают, как менять жизнь к лучшему, не ломая себя. Почему чувство вины искажает нашу реальность и не дает действовать разумно? Как услышать свое подсознание и начать жить в гармонии с собой? Почему перфекционисты не могут достичь высот в карьере?
На примере реальных историй из жизни авторы анализируют самые распространенные проблемы и рассказывают, как их преодолеть.",5 000 тг,0,Альпина Паблишер,2019 г.,9785961424126,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131887_1464248.jpeg
Илон Маск и поиск фантастического будущего,Вэнс Э.,"Идеи Илона Маска никого не оставят равнодушным. Это он создал самый лучший в мире электромобиль и строит ракеты, которые летают к Международной космической станции. Он собирается перевести энергетику на солнечные батареи и отправить экспедицию на Марс. Свою первую программу для компьютерной игры Илон написал в 12 лет. Но компьютерщиком он не стал – решил, что для него этого слишком мало. Надо думать о будущем человечества!Из книги вы узнаете, как нелюдимый «ботаник», которого травили школьные хулиганы, взял судьбу в свои руки и стал шаг за шагом совершать невозможное. Сейчас Маск – человек-легенда, предприниматель и инженер, с которым мало кто на планете может сравниться. Одни считают его гением, другие – авантюристом, а третьи – циничным дельцом. Будем разбираться вместе с неутомимым журналистом Эшли Вэнсом!",6 700 тг,4,Олимп-Бизнес,2018 г.,9785969303782,Твердый,220 мм x 160 мм,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117559_1450480.jpeg
Илон Маск. В погоне за мечтой,Немиров А.,"«Мы живем в мире, где возможно всё, стоит только захотеть и начать делать!.. Мечтайте. Чем выше ваша планка, тем выше вы окажетесь», – говорит Илон Маск. Куда же привели мечты его самого?Он – генеральный директор и основатель ракетостроительной компании SpaceX и автомобилестроительной Tesla Motors, а также президент SolarCity – крупнейшей американской компании, работающей в области возобновляемых источников энергии. Он создал самый лучший в мире электромобиль и строит ракеты, которые летают к Международной космической станции. Он собирается перевести энергетику на солнечные батареи и отправить экспедицию на Марс. Он – человек-легенда, предприниматель и инженер, с которым мало кто на планете может сравниться. Как бедный эмигрант добился этого? Кто он – гений или авантюрист?В новой книге Александра Немирова описана полная биография самого выдающегося человека планеты. Здесь представлены материалы из личных интервью, зарубежных СМИ и все данные интернет-медиа.Приглашаем вас отправиться в увлекательное путешествие в мир Илона Маска! Таких, как он, больше нет.",4 600 тг,4,Алгоритм,2018 г.,9785907028937,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126612_1459066.jpeg
Илон Маск. До встречи на Марсе,Кроули Р.А.,"""Илон Маск – инноватор SpaceX и генеральный директор компании по производству электромобилей Tesla. Он разрабатывает невообразимые и уникальные новшества в области общественного транспорта и находит новые способы использования солнечной энергии, а также строит грандиозные планы колонизации Марса. Но за сногсшибательными заголовками и невероятными планами скрывается история запуганного мальчика, который с помощью творчества и упорства решил переписать историю и найти свой способ сделать мир лучше. Илон Маск всегда придерживался особого пути: от организации вечеринок до оплаты обучения в колледже и изменения правил путешествий в космос, – он всегда принимал нестандартные, почти шокирующие решения для реорганизации каждого из аспектов своей жизни. Он – герой нашего времени.""",4 600 тг,0,АСТ,2019 г.,9785171172565,Твердый,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133313_1465405.jpeg
Илон Маск: Никогда не сдамся,Ахметов К. сост.,"Книга представляет собой сборник высказываний Илона Маска, предпринимателя, инженера-изобретателя, инвестора и визионера, - яркой и противоречивой звезды XXI века. Цитаты из публичных выступлений, писем и интервью Маска позволяют проследить эволюцию его взглядов, приоткрывая внутренний мир нашего уникального современника.Суждения Маска о развитии космоса и будущем человечества, об информационных технологиях и правилах бизнеса, о семье и личных предпочтениях, высказанные им самим, помогают лучше понять, почему Маска называют наследником одновременно Стива Джобса и Леонардо да Винчи.",4 400 тг,5,Олимп-Бизнес,2018 г.,9785969303768,200,Твердый,165 мм x 120 мм,215 г.,http://www.bookcity.kz/content/images/thumbs/5111694_1445184.jpeg
Инвестиции: Учебник для вузов,Бочаров В.В.,"В учебнике рассматривается сложный и актуальный предмет инвестиций и инвестиционной деятельности. Даются советы по управлению инвестиционным портфелем, финансированию предприятий, построению инвестиционных моделей и многое другое.  Второе издание значительно обновлено, рассмотрены новые практические примеры, учтены самые последние изменения российского законодательства.    Книга предназначена в первую очередь для студентов и аспирантов вузов по экономическим специальностям, также будет ценным практическим пособием для специалистов, работающих в органах финансово-кредитной системы, на предприятиях и в коммерческих организациях.",2 600 тг,2,Питер,2009 г.,9785388006585,384,Твердый,215 мм x 145 мм,232 г.,http://www.bookcity.kz/content/images/thumbs/5018601_1339696.jpeg
Инвестиционная оценка. Инструменты и методы оценки любых активов,Дамодаран А.,"Цитата ""Фирма может быть недооцененной относительно собственного сектора, но переоцененной относительно рынка, если в отношении всего сектора сложились искаженные цены"". Асват Дамодаран О чем книга В основе книги лежит предположение, что любой актив можно оценить, пусть и не всегда точно. В новом издании автор учел уроки финансового кризиса 2008 г., а так же добавил главу по вероятностным методам оценки. Почему книга достойна прочтения Полный спектр моделей, используемых аналитиками для оценки.",22 200 тг,4,Альпина Паблишер,2018 г.,9785961454642,1316,Твердый,240 мм x 170 мм,1815 г.,http://www.bookcity.kz/content/images/thumbs/5059522_1400550.jpeg
Индустрия счастья. Как Big Data и новые технологии помогают добавить эмоцию в товары и услуги,Дэвис У.,"""Индустрия счастья"" - блестящий взгляд на реалии современности. Компании, анализирующие подтекст наших твитов, сканирование эмоций с лица в общественных местах. Это всё очень увлекательно и позволяет задуматься: почему наше счастье - такая полезная информация для крупных организаций?",5 900 тг,0,Эксмо,2017 г.,9785699850952,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133655_1465631.jpeg
Инноваторы,Айзексон У.,"После ставшей мировым бестселлером биографии Стива Джобса Айзексон написал о людях, благодаря которым появились компьютеры и интернет. Это история о разных этапах цифровой революции, о том, как добиваться того, чтобы мечты претворялись в жизнь. Начинается она с сороковых годов XIX века, с Ады Лавлейс, первой нащупавшей принципы компьютерного программирования. А дальше следует рассказ о тех, без кого не было бы ни компьютеров, ни интернета, — о Вэниваре Буше, Алане Тьюринге, Билле Гейтсе, Стиве Возняке, СтивеДжобсе и Ларри Пейдже.",8 400 тг,3,АСТ,2019 г.,9785171136062,Твердый,50 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129243_1461703.jpeg
Инновационная экономика: Монография. Том 2,Оразалы С.,"В XXI веке инновационная экономика формируется во всех цивилизованных процветающих государствах. И в Стратегии развития Казахстана созданию инновационной экономики должно отводиться особое место.
В монографии автор определяет роль науки в структуре инновационной экономики Казахстана, критерии и показатели конкурентоспособности национальной экономики, используя рекомендации Всемирного Давосского экономического форума. В качестве новации читателям предоставляется «Экономический манифест». Предлагается главная концептуальная идея автора – создание социально-ориентированной экономики в Казахстане. 
Книга предназначена для всех читателей, особенно для будущего поколения молодежи Казахстана.",3 900 тг,0,2011 г.,9786012150339,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117199_1450132.jpeg
Инновационный Казахстан: монография,Мутанов Г.М.,"Настоящие издание представляет собой многогранное исследование инновационных процессов, происходящих в экономике Республики Казахстан. Авторами были рассмотрены различные аспекты инновационных процессов: современное состояние, проблемы и факторы, препятствующие инновационному прорыву, перспективы развития инноваций в Казахстане, а также проведен анализ инновационного развития  в Республике Казахстан с использованием электронного атласа.
Предназначена для специалистов, занимающихся практическими сторонами внедрения инноваций, а также может быть полезна для научных работников, преподавателей, молодых ученных, интересующихся вопросами становления экономики знаний в Казахстане.
Научное издание.",2 900 тг,2,КазНУ,2015 г.,9786010414426,Твердый,13 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5078637_1417835.jpeg
Инновационный менеджмент,Коллектив авторов (HBR) .,"Harvard Business Review - ведущий деловой журнал в мире. Представляем новый выпуск серии ""HBR: 10 лучших статей"", посвященный проблемам инновационного менеджмента.Каждая компания рано или поздно сталкивается с необходимостью внедрять нечто новое, иначе ее неминуемо ждет стагнация и проигрыш конкурентам. Из сотен статей журнала HBR редакторы этой серии отобрали самые полезные и актуальные.Из книги вы узнаете, как создавать инновации и управлять ими, как можно извлечь идеи для инноваций из повседневной рабочей рутины, почему для оценки эффективности инноваций не следует исполь­зовать стандартные финансовые показатели и какие критерии использовать следует. На примерах таких крупных игроков, как General Electrics, BMW и 3M, авторы объясняют, как интегрировать команду инновационного проекта в структуру компании, и разоблачают мифы и развеивают страхи, связанные с инновационным процессом в бизнесе.",4 900 тг,1,Альпина Паблишер,2018 г.,9785961465877,206,Твердый,215 мм x 145 мм,375 г.,http://www.bookcity.kz/content/images/thumbs/5115410_1448395.jpeg
Инновациялық экономика: Монография. Том 1,Оразалы С.,"XXI ғасырда өркениетті дамыған мемлекеттер инновациялық экономика құру жолында. Қазақстан мемлекетінің де стратегиялық мақсаты осы болуы тиіс.
Бұл кітапта автор Қазақстанда инновациялық экономика құрудағы ғылымның рөлін, Дүниежүзілік Давос экономикалық форумының нәтижелерін пайдаланып, дағдарыс кезінде, одан кейінгі кезеңде де Қазақстанның ұлттық экономикасының бәсекелестігінің критериялары мен көрсеткіштерін анықтайды. Новация туынды ретінде оқырмандарға «Экономикалық манифест» атты еңбегін ұсынады. Автордың негізгі концептуалды идеясы ретінде Қазақстанның әлеуметтік экономикасын құру тетіктері беріледі.
Кітап жалпы оқырмандарға арналған, әсіресе Қазақстанның келешегін толғандыратын жастар үшін.",3 900 тг,0,2011 г.,9786012150322,Твердый,15 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117195_1450128.jpeg
Инстаграм: хочу likes и followers,Гогохия И.,"Инди Гогохия – вицепрезидент клуба ""Transformator.Women"", основатель первого коммуникационного серфинг агенства  ""Genius.code"", специалист в области SMM, PR и маркетинга ведущая мастер-классов и воркшопов по развитию личного бренда, спикер МГИМО. Ее клиенты – топовые компании страны, а также множество предпринимателей со всего мира.Что такое социальная сеть Instagram? Да, с одной стороны это замечательный способ развлечься, посмотреть чем живут друзья и знаменитости, почитать мудрые советы профессионалов со всего мира, а также возможность поделиться яркими фото из собственной жизни.Но поверьте, это далеко не все, на что способна эта социальная сеть! Специалисты знают, что Instagram – это, прежде всего, идеальная площадка для:• продаж и покупок нахождению клиентов созданию бренда• способ заработка денег из любой точки мира• возможность стать по-настоящему знаменитым, звездой!И это лишь часть того, чего можно добиться с помощью этой сети. Но всегда встает вопрос КАК? Как обрести продписчиков? Как получать больше лайков под своими фото? Как сделать так, чтобы мои посты читали взахлеб?Эта книга – ваш ответ на данные вопросы. Это не  набор теоретической информации, а качественный практический помощник, который шаг за шагом, в реальном времени поможет каждому в кратчайшие сроки обрести и создать свой Instagram мечты!Для этого достаточно иметь лишь мобильный телефон! Бери телефон, открывай книгу и вступай в свою новую жизнь!",4 900 тг,5,АСТ,2019 г.,9785171093273,192,Твердый,14 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119222_1452073.jpeg
