"Название","Автор","Цена","Описание","Издательство","Год издания","Штрих-код","Количество страниц","Переплет","Размер","Толщина","Вес","Картина"
"Great Britain","Голицынский Ю.Б.","Данная книга представляет собой пособие по страноведению, которое знакомит учащихся с основными достопримечательностями, историей и биографиями знаменитых граждан Великобритании. Книга предназначена для учащихся старших классов гимназий и школ с углубленным изучением английского языка, для студентов высших и средних специальных учебных заведений.","3 200 тг","0","Каро","2019 г.","9785992513509","25 мм","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5129814_1462233.jpeg"
"Great Expectations","CHARLES DICKENS","Pip lives in the marshland of rural England with his older sister and her husband Joe. One day he meets Magwitch, an escaped convict, who asks for his help. Then, Pip is invited by Miss Havisham, a wealthy but eccentric lady, to meet Estella, a beautiful girl whom he immediately falls in love with. How will the encounter with the convict affect Pip's life and will Estella ever return his love? Retold by Virginia Evans.","3 400 тг","1","Express publishing","2007 г.","9781846794360","48","Мягкий","3 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127425_1459918.jpeg"
"Great Expectations = Большие надежды: роман на англ.яз","Диккенс Ч.","Great Expectations, published in 1861, is the author's penultimate completed novel narrated in the first person, it depicts the personal growth and personal development of an orphan nicknamed Pip. The novel contains some of Dickens' most memorable scenes, and is full of extreme imagery - poverty prison ships and chains, and fights to the death. It also features a colourful cast of characters who have entered popular culture both in England and abroad.","5 700 тг","4","Пальмира","2017 г.","9785521001521","514","Мягкий","215 мм x 145 мм","350 г.","http://www.bookcity.kz/content/images/thumbs/5133368_1441848.jpeg"
"Grey: fifty shades of grey","EL James","In Christian’s own words, and through his thoughts, reflections, and dreams, E.L.James offers a fresh perspective on the love story that has enthralled millions of reader around the world. CHRISTIAN GREY exercises control in all things his world is neat, disciplined, and utterly empty – until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him – past the business prodigy and the penthouse lifestyle to Christian’s cold, wounded heart. Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him?","6 700 тг","3","Random House,","2015 г.","9781784753252","576","Мягкий","200 мм x 130 мм","50 г.","http://www.bookcity.kz/content/images/thumbs/5076212_1415482.jpeg"
"Gulliver's Travels","Свифт Дж.","Серия English Fiction Collection состоит из лучших произведений английских и американских авторов. Читая книгу на языке оригинала, вы не только обогатите собственную лексику и научитесь чувствовать грамматический строй, но также сможете насладиться настоящим языком великих писателей и поэтов.Серия предназначена для тех, кто учит английский всерьез, кто действительно хочет знать этот красивый и многогранный язык.","2 000 тг","3","Сибирское унив.изд-во","2017 г.","9785437409824","176","Мягкий","215 мм x 145 мм","130 г.","http://www.bookcity.kz/content/images/thumbs/5120550_1453349.jpeg"
"Gulliver's Travels = Путешествие Гулливера: роман на англ.яз","Свифт Д.","Travels into Several Remote Nations of the World. In Four Parts. By Lemuel Gulliver, First a Surgeon, and then a Captain of Several Ships, commonly known as Gulliver's Travels (1726, amended 1735), is a prose satire both on human nature and the ""travellers tales"" literary subgenre of the day. It is Swift's best known full-length work, and a classic of English literature.","3 800 тг","0","Пальмира","2017 г.","9785521001699","238","Мягкий","215 мм x 145 мм","265 г.","http://www.bookcity.kz/content/images/thumbs/5109960_1441824.jpeg"
"Hadji Murad. Хаджи - Мурат","Толстой Л.Н.","Предлагаем вниманию читателей повесть Л.Н.Толстого «Хаджи-Мурат», написанную на рубеже веков. Главный герой - реальный исторический персонаж, наиб имама Шамиля, в 1851 году перешедший на сторону русских, а на следующий год погибший при попытке к бегству в горы.","2 800 тг","3","Каро","2017 г.","9785992512274","224","Мягкий","165 мм x 120 мм","150 г.","http://www.bookcity.kz/content/images/thumbs/5111156_1443383.jpeg"
"Hallowe'en Party","Кристи А.","Неизвестно","2 600 тг","5","Каро","2018 г.","9785992513257","Мягкий","170 мм x 120 мм","10 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5121007_1453815.jpeg"
"HAMLET","William Shakespeare","Prince Hamlet's father is dead, and, to make matters worse, his Uncle Claudius has taken the throne and married his recently widowed mother. His father's ghost reveals that his death was not an accident and demands that the young prince takes revenge on those responsible. What will Hamlet do, and how will this affect the lives of those around him, especially his beloved Ophelia? Retold by Virginia Evans, Jenny Dooley.","4 200 тг","0","Express publishing","2017 г.","9781846793776","72","Мягкий","3 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127585_1460081.jpeg"
"HAMPTON  HOUSE SET 1 (Reader +Activity+Audio CD)","Jenny Dooley","Неизвестно","5 200 тг","0","Express publishing","2017 г.","9781842161562","Мягкий","5 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127570_1460066.jpeg"
"Hannah and the hurricane + CD","Неизвестно","нет","2 400 тг","1","Pearson Education Limited","2008 г.","9781405880596","20","Мягкий","200 мм x 130 мм","55 г.","http://www.bookcity.kz/content/images/thumbs/5048753_1370188.jpeg"
"Harry Potter and the Chamber of Secrets – Hufflepuff Edition","Rowling J.K.","Exclusive Hufflepuff House Edition of Harry Potter and the Chamber of Secrets – a highly collectable must-have for all Harry Potter fans!Let the magic of J.K. Rowling’s classic series take you back to Hogwarts School of Witchcraft and Wizardry. Issued to mark the 20th anniversary of first publication of Harry Potter and the Chamber of Secrets, these irresistible House Editions celebrate the noble character of the four Hogwarts houses. Featuring gorgeous house-themed cover art and interior line illustrations by Kate Greenaway Medal winner Levi Pinfold, each book will also have vibrant sprayed edges in the house livery. Entertaining bonus features exclusive to each house accompany the novel. All seven books in the series will be issued in these highly collectable House Editions.A must-have for anyone who has ever imagined sitting under the Sorting Hat in the Great Hall at Hogwarts waiting to hear the words, ‘Better be HUFFLEPUFF!","13 900 тг","0","Bloomsbury","2018 г.","978140889815490100","Твердый","210 мм x 140 мм","30 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127485_1459981.jpeg"
"Harry Potter and the Chamber of Secrets – Ravenclaw Edition","Rowling J.K.","Exclusive Ravenclaw House Edition of Harry Potter and the Chamber of Secrets – a highly collectable must-have for all Harry Potter fans!Let the magic of J.K. Rowling’s classic series take you back to Hogwarts School of Witchcraft and Wizardry. Issued to mark the 20th anniversary of first publication of Harry Potter and the Chamber of Secrets, these irresistible House Editions celebrate the noble character of the four Hogwarts houses. Featuring gorgeous house-themed cover art and interior line illustrations by Kate Greenaway Medal winner Levi Pinfold, each book will also have vibrant sprayed edges in the house livery. Entertaining bonus features exclusive to each house accompany the novel. All seven books in the series will be issued in these highly collectable House Editions.A must-have for anyone who has ever imagined sitting under the Sorting Hat in the Great Hall at Hogwarts waiting to hear the words, ‘Better be RAVENCLAW!","13 900 тг","0","Bloomsbury","2018 г.","9781408898130","Твердый","210 мм x 140 мм","30 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127477_1459970.jpeg"
"Harry Potter and the Deathly Hallows","Rowling J.K.","Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him.In this final, seventh instalment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited. The spellbinding, richly woven narrative, which plunges, twists and turns at a breathtaking pace, confirms the author as a mistress of storytelling, whose books will be read, reread and read again.","16 700 тг","0","Bloomsbury","2007 г.","9780747591054","608","Твердый","205 мм x 135 мм","666 г.","http://www.bookcity.kz/content/images/thumbs/5127427_1459919.jpeg"
"Heart of Darkness","Конрад Д.","Неизвестно","2 300 тг","2","Каро","2018 г.","9785992513233","80","Мягкий","180 мм x 120 мм","345 г.","http://www.bookcity.kz/content/images/thumbs/5121071_1453873.jpeg"
"Hearts of Three = Сердца трех: на англ.яз.","London J.","Francis Morgan, a wealthy heir of industrialist and Wall Street maven Richard Henry Morgan, is a jaded young New Yorker. When his father's business partner Thomas Regan suggests that Francis take a holiday in Central America, ostensibly to search for the treasure of the Morgans' legendary ancestor, Francis thinks it's a splendid idea. But he never suspects what adventures await across the border...","5 200 тг","2","Т8 RUGRAM","2018 г.","9785521060054","406","Мягкий","210 мм x 150 мм","525 г.","http://www.bookcity.kz/content/images/thumbs/5133416_1458731.jpeg"
"HELLO. I’M KAZAKH WITH A RUSSIAN SOUL, BORN IN UKRAINE, AND TEACHING ENGLISH","Романенко Е.И.","Настоящий учебно-методический комплекс разработан для взрослой русскоязычной аудитории и состоит из 20 уроков, 7 приложений и ряда видеоуроков на канале DoEnglish ресурса Youtube. Курс предоставляет возможность развития навыков чтения, письма, аудирования и говорения на английском языке. Лексический материал пособия основан на современной лексике и терминологии, что позволяет значительно оживить процесс обучения.","2 200 тг","4","Алматы","2018 г.","9786017486044","Мягкий","10 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5117331_1450258.jpeg"
"Hésitation","Майер С.","""Deux futurs, deux ames soeurs... C'etait trop pour une seule personne. Je compris que ce n'etait pas Edward et Jacob que j'avais essaye de reconcilier, c'etaient les deux parts de moi-meme, la Bella d'Edward et la Bella de Jacob. Malheureusement, elles ne pouvaient","11 200 тг","0","Hachette","2007 г.","9782012014930","Мягкий","44 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5041325_1363791.jpeg"
"His Last Bow. Sherlock Holmes Short Story Collection","Дойл А.","Sherlock Holmes Short Story Collection. 
Его прощальный поклон: сборник рассказов на английском языке.
Серия English Fiction Collection состоит из лучших произведений английских и американских авторов. Читая книгу на языке оригинала, вы не только обогатите собственную лексику и научитесь чувствовать грамматический строй, но также сможете насладиться настоящим языком великих писателей и поэтов. 
Серия предназначена для тех, кто учит английский всерьез, кто действительно хочет знать этот красивый и многогранный язык.","1 500 тг","0","Норматика","2018 г.","9785437410844","Мягкий","-12 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120129_1452941.jpeg"
"HOLD ME CLOSER by DAVID LEVITHAN","David Levithan","Неизвестно","6 600 тг","0","Penguin Books","2015 г.","978014135937390000","15 мм","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5113789_1446948.jpeg"
"Hot Spot 4 for Studient's Book + CD","Неизвестно","Неизвестно","5 500 тг","0","Macmillan Publishers","2012 г.","9780230432994","Мягкий","6 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5025112_1346792.jpeg"
"Hot Spot 4 Studient's Book + CD","Неизвестно","Hot Spot Level 4 Student‘s Book with CD-ROM Pack","3 200 тг","0","Macmillan","2010 г.","9780230723771","112","Мягкий","295 мм x 210 мм","395 г.","http://www.bookcity.kz/content/images/thumbs/5033316_1354459.jpeg"
"HOTELS  & CATERING STUDENT'S BOOK (with DigiBooks)","Virginia E.","Серия CAREER PATHS  - это новый образовательный ресурс для специалистов и начинающих карьеру студентов,  которые хотят улучшить свое знание английского языка в рабочей среде. Каждый блок Student’s Book  (with DigiBooks) Teacher’s Pack with  Teacher’s Guide(Student’s Book, Teacher’s Guide,CDs, DigiBooks) помимо пособия с текстами и словаря оснащен  материалами  по четырем ключевым  языковым компонентам: чтение, аудирование, говорение и письмо. Это READER –  книга для чтения, ACTIVITY BOOK – тетрадь с заданиями для закрепления материала, СD – для аудирования, он-лайн платформа   - DIGI BOOKS  -  инновационный способ обучения с элементами геймификации для работы в аудиториях и дома.","10 100 тг","0","Express publishing","2014 г.","9780857776082","Мягкий","7 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127565_1460061.jpeg"
"House That Once Was","Fogliano Julie","Неизвестно","10 200 тг","0","Pan Macmillan","2018 г.","978150988065290100","Твердый","12 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5122868_1455605.jpeg"
"How to Prepare for the GED Test with CD","Неизвестно","Неизвестно","26 500 тг","2","Barron`s educational series","2017 г.","9781438076386","Мягкий","30 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5102870_1439382.jpeg"
"HSK 1 уровень. Учебное пособие на рус.языке","Неизвестно","Роль китайского языка в современном мире становится все более важной. В этой связи Канцелярия Международного совета китайского языка, используя современные теории и результаты исследований, представила ""Новый экзамен на уровень владения китайским языком HSK"" (в дальнейшем именуется как Новый HSK). Сдавать его начали с марта 2010 года. Новый HSK разрабатывался на основе результатов последних научных исследований.Существующие материалы не соответствуют новым требованиям, поэтому редакционная коллегия преподавателей Пекинского университета, Пекинского университета языка и культуры, а также Китайского народного университета создала это пособие. Оно охватывает основные аспекты изучения языка. Особое внимание уделяется грамматике, что позволяет быстро подготовиться к экзамену.","3 100 тг","2","Шанс","2017 г.","9785906893321","128","Мягкий","15 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123410_1456112.jpeg"
"HSK 2 уровень. Учебное пособие на рус.языке","Неизвестно","Роль китайского языка в современном мире становится все более важной. В этой связи Канцелярия Международного совета китайского языка, используя современные теории и результаты исследований, представила ""Новый экзамен на уровень владения китайским языком HSK"" (в дальнейшем именуется как Новый HSK). Сдавать его начали с марта 2010 года. Новый HSK разрабатывался на основе результатов последних научных исследований.Существующие материалы не соответствуют новым требованиям, поэтому редакционная коллегия преподавателей Пекинского университета, Пекинского университета языка и культуры, а также Китайского народного университета создала это пособие. Оно охватывает основные аспекты изучения языка. Особое внимание уделяется грамматике, что позволяет быстро подготовиться к экзамену.","3 100 тг","2","Шанс","2017 г.","9785906893338","152","Мягкий","10 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123413_1456117.jpeg"
"I am charlotte simmons","Вулф Т.","-r and who consider themselves the last bastion of...","4 000 тг","0","Random House","2009 г.","9780099479024","688","Мягкий","195 мм x 130 мм","480 г.","http://www.bookcity.kz/content/images/thumbs/5009922_1332617.jpeg"
"I Am Not Your Perfect Mexican Daughter","Sánchez, Erika L.","Perfect Mexican daughters do not go away to college. And they do not move out of their parents’ house after high school graduation. Perfect Mexican daughters never abandon their family.
But Julia is not your perfect Mexican daughter. That was Olga’s role. 
Then a tragic accident on the busiest street in Chicago leaves Olga dead and Julia left behind to reassemble the shattered pieces of her family. And no one seems to acknowledge that Julia is broken, too. Instead, her mother seems to channel her grief into pointing out every possible way Julia has failed.
But it’s not long before Julia discovers that Olga might not have been as perfect as everyone thought. With the help of her best friend Lorena, and her first love, first everything boyfriend Connor, Julia is determined to find out. Was Olga really what she seemed? Or was there more to her sister’s story? And either way, how can Julia even attempt to live up to a seemingly impossible ideal?","13 100 тг","0","2018 г.","978152470048551799","Твердый","Неизвестно","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5124492_1457123.jpeg"
"ICT ( Information and communication technology).Grade 9 . Student's portfolio (Рабочая тетрадь)","Неизвестно","Неизвестно","2 800 тг","0","Express publishing","2018 г.","9781471576492","Мягкий","10 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5130132_1462524.jpeg"
"ICT ( Information and communication technology).Grade 9 Student`s book(Учебник)","Неизвестно","Неизвестно","8 700 тг","0","Express publishing","2018 г.","9781471576485","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5130131_1462523.jpeg"
"Idioms Dictionary","Неизвестно","Cambridge Idioms Dictionary: Around 7,000 idioms explained in simple language Thousands of example sentences based on the Cambridge International Corpus All the information you need to use idioms appropriately Shows you the most important idioms to learn. This Second edition: Fully updated with new idioms, e.g. think outside the box, nailing jelly to the wall Lively new pictures illustrating many idioms Photocopiable worksheets Topic pages covering useful language areas. think outside the box, play out of your skin, the new black  • New, attractive page layout with idioms in colour for easy reference  • Clear explanations and example sentences for every idiom  • Most common idioms highlighted so students know which to learn  • Topic section covering useful language areas, e.g. agreeing and disagreeing, telling stories","5 400 тг","2","Cambridge","2008 г.","9780521677691","528","Мягкий","200 мм x 135 мм","555 г.","http://www.bookcity.kz/content/images/thumbs/5123687_1456392.jpeg"
"Il fu Mattia Pascal","Пиранделло Л.","Луиджи Пиранделло - знаменитый итальянский писатель и драматург, лауреат Нобелевской премии по литературе за 1934 год. Его пьесы ставятся в театрах всего мира.Предлагаем вниманию читателей самый известный роман писателя ""Покойный Маттиа Паскаль"". Обстоятельства жизни героя складываются неудачно для него, и он решает исчезнуть. Выиграв в казино приличные деньги, он уезжает из родного города в Рим и начинает жить под новым именем. Все считают его умершим, а он пытается начать новую жизнь, но стать по-настоящему свободным ему не удается, он разрывается между собой реальным и собой выдуманным...Книга адресована студентам филологических факультетов и всем любителям и знатокам итальянской литературы.","2 700 тг","1","Каро","2018 г.","9785992513066","224","Мягкий","9 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5119177_1452030.jpeg"
"Im westen nichts neues","Ремарк Э.М.","Эрих Мария Ремарк - один из самых известных немецких писателей XX века. Роман ""Назападном фронте без перемен"" рассказывает о поколении, которое погубила война, о тех, кто стал ее жертвой, даже если спасся от пуль. Это отчет о реальных событиях Первой мировой войны, рассказ о солдатском товариществе. Книга предназначена для широкого круга читателей, владеющих немецким языком, для студентов языковых вузов, а также может быть рекомендована лицам, самостоятельно изучающим немецкий язык. Книга включает краткую биографию писателя, текст романа, задания к тексту, направленные на достижение более глубокого понимания текста, и комментарий. Цель лингвистического и лингвострановедческого комментария - облегчить читателю понимание реалий текста, а также разъяснить значения слов разговорной и военной лексики, часто встречающихся на страницах романа. Подготовка текста, комментарии и словарь М.Н.Гузь.","2 000 тг","3","Каро","2017 г.","9785992505689","304","Мягкий","165 мм x 120 мм","141 г.","http://www.bookcity.kz/content/images/thumbs/5070911_1410365.jpeg"
"Imagery in Translation. Практикум по художественному переводу","Казакова Т.А.","Пособие предназначено для совершенсвования навыков литературного перевода и сопоставительного анализа на материале английской, американской и русской художественной литературы. Материал распределен по разделам в соответствии с основными жанрами художественной литературы: поэзия, проза, драма и фольклор. В качестве образцов используются произведения классической и современной литературы, опубликованные и архивные переводы, а также литературные редакции фольклорных текстов на английском и русском языках. Особое внимание уделяется переводу русской литературы на английский язык в условиях различия отечественной и зарубежной школ художественного перевода.","4 300 тг","1","Перспектива (Санкт-Петербург)","2018 г.","9785914130357","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127260_1459751.jpeg"
"In a Glass Darkly 1. Green Tea, The Familiar _ Mr. Justice Harbottle = Сквозь тусклое стекло 1: на англ.яз","Le Fanu J.S.","Joseph Thomas Sheridan Le Fanu was an Irish writer of Gothic novels, one of the most influential ghost story writers of the nineteenth century. ""In a Glass Darkly"" is a collection of mystery stories presented as cases of the occult detective Dr. Martin Hesselius, who believes that ghosts can be real.","3 000 тг","0","Т8 RUGRAM","2019 г.","9785517002402","Мягкий","5 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5130802_1463178.jpeg"
"In the Days of the Comet = В дникометы: роман на англ.яз","Wells H.G.","Серия книг «Зарубежная классика — читай в оригинале» — это бессмертные произведения великих мастеров пера, написанные ими на их родном языке и наречии. Книги из этой серии помогут читателю углубленно изучать иностранные языки, обогатят его внутренний мир и по-новому откроют произведения известных классиков. Неадаптированное издание на английском языке.","2 400 тг","0","Т8 (Книга по Требованию)","2017 г.","9785519498838","Твердый","18 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5128074_1460562.jpeg"
"In the Land of Scattered Kisses","Валиуллин Р.Р.","Если вы никогда не были в стране, где валяются поцелуи, то можно получить визу или даже вид на жительство, просто скинув маски, как это сделали герои одной венецианской истории.","2 200 тг","0","Антология","2016 г.","9785990808553","160","Мягкий","165 мм x 107 мм","105 г.","http://www.bookcity.kz/content/images/thumbs/5116663_1449597.jpeg"
"INSURANCE STUDENT'S BOOK (with DigiBooks)","Virginia E.","Серия CAREER PATHS  - это новый образовательный ресурс для специалистов и начинающих карьеру студентов,  которые хотят улучшить свое знание английского языка в рабочей среде. Каждый блок Student’s Book  (with DigiBooks) Teacher’s Pack with  Teacher’s Guide(Student’s Book, Teacher’s Guide,CDs, DigiBooks) помимо пособия с текстами и словаря оснащен  материалами  по четырем ключевым  языковым компонентам: чтение, аудирование, говорение и письмо. Это READER –  книга для чтения, ACTIVITY BOOK – тетрадь с заданиями для закрепления материала, СD – для аудирования, он-лайн платформа   - DIGI BOOKS  -  инновационный способ обучения с элементами геймификации для работы в аудиториях и дома.","10 100 тг","0","Express publishing","2014 г.","9781471523359","Мягкий","7 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127490_1459986.jpeg"
"Intermediate English Course. В 2-х частях. Часть 2","Христорождественская Л.П.","Пособие предназначено для развития диалогической и монологической речи английского языка и рассчитано на лиц, ранее освоивших `начальный` курс по двухтомному изданию этого же автора.","800 тг","4","Харвест","2001 г.","9789851301795","416","Твердый","200 мм x 130 мм","696 г.","http://www.bookcity.kz/content/images/thumbs/5041824_1363926.jpeg"
"Iramifications","Галина М.","-","3 600 тг","0","Не указано","2007 г.","9785717200820","368","Мягкий","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5041568_1363783.jpeg"
"Isle of Dogs","Корнуэлл П.","Chaos breaks loose when the Governor of Virginia orders that speed traps be installed on all streets and highways, and warns that motorists will be caught by monitoring aircraft flying overhead. But the eccentric inhabitants of Tangier, fourteen miles off the coast of Virginia in the Chesapeake Bay, respond by threatening to secede and set up as an independent state, claiming that their independence lies in the history of America's first settlers, those who set sail from London's Isle of Dogs in 1607. Judy Hammer, newly installed as the Superintendent of Virginia State Police, and Andy Brazil, state trooper and Hammer's right-hand confidant, find themselves at their wits' end as they try to protect the public from the politicians... and vice versa. Формат: 11 см х 17,5 см.","3 300 тг","0","Little, Brown","2007 г.","9780751531886","544","Мягкий","1 мм x 1 мм","286 г.","http://www.bookcity.kz/content/images/thumbs/5014441_1336289.jpeg"
"Jane Eyre = Джейн Эйр. Т. 1: на англ.яз","Bronte C.","Charlotte Bronte was an English novelist and poet, the eldest of the three Bronte sisters who survived into adulthood and whose novels have become classics of English literature. Jane Eyre, is a novel by Charlotte Bronte, first published in 1847 under the pseudonym Currer Bell. Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school, Jane Eyre nonetheless emerges unbroken in spirit and integrity. As much a story about defying convention as it is about coming-of-age, Jane Eyre remains one of the most beloved novels in the English language. Both Gothic and Victorian in its influence and scope, it captures one woman's determination to live life on her own terms - choosing courage over fear, while finding power in love and compassion.","7 800 тг","0","Т8 RUGRAM","2018 г.","9785521079063","632","Твердый","45 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5128012_1460501.jpeg"
"Just English. Английский для юристов. Legal Crosswords","Гуманова Ю.Л., Королева-МакАри В.А., Свешникова М.Л.","Учебное пособие подготовлено на кафедре английского языка для гуманитарных факультетов МГУ им. М.В.Ломоносова на основе учебной программы курса английского языка для юридических вузов. Пособие поможет будущим юристам значительно расширить свой словарный запас и ознакомиться с правовой лексикой на английском языке. Для специалистов в области права, изучающих английский язык.","1 100 тг","4","КноРус","2008 г.","9785859711062","72","Мягкий","215 мм x 145 мм","60 г.","http://www.bookcity.kz/content/images/thumbs/5011126_1331936.jpeg"
"Kakegurui - Compulsive Gambler -, Vol. 6","Kawamoto Homura","The gambling games continue...and this next game has truly lethal consequences. Will Yumeko be able to figure out its secrets in time to keep from losing her life?
Sayaka has had just about enough of Yumeko Jabami! The student council secretary wants to rid the school of Yumeko's poisonous influence once and for all, so the president sets the stage for the craziest gamble yet-the enigmatic Tower of Doors! Will Sayaka's cold logic triumph over Yumeko's chaos?","11 900 тг","0","Hachette Book Group","2018 г.","978031644759151500","Мягкий","22 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123740_1456448.jpeg"
"KIDNAPPED READER","Robert Louis Stevenson","Неизвестно","3 300 тг","0","Express publishing","2017 г.","9781845582074","Мягкий","3 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127603_1460099.jpeg"
"Kim = Ким: роман на англ.яз","Киплинг Р.","The story of Kim (1901) unfolds against the backdrop of the political conflict between Russia and Britain in Central Asia known as The Great Came. The novel is notable for its detailed portrait of the people, culture, and varied religions of India. ""The book presents a vivid picture of India, its teeming populations, religions, and superstitions, and the life of the bazaars and the road.""","4 300 тг","0","Пальмира","2017 г.","9785521003280","300","Мягкий","215 мм x 145 мм","325 г.","http://www.bookcity.kz/content/images/thumbs/5109870_1441844.jpeg"
"Kind regards: Деловая переписка на английском языке","Бод Д.--М.","Цитата ""Минимум слов должен обеспечить максимальную отдачу"". Умение вести деловую переписку по электронной почте на английском языке - одна из ключевых компетенций в бизнесе. От способности четко, грамотно и убедительно сформулировать мысль, от знания этикета деловой переписки может зависеть очень многое. Дон-Мишель Бод, специалист по коммуникациям с мировым именем, на конкретных примерах из практики топ-менеджеров, маркетологов, специалистов по HR, юристов и многих других рассказывает об основах и тонкостях составления электронных писем на английском языке. К концу книги вы не только сможете написать четко структурированное послание, но и обогатите ваш лексикон новыми словами и выражениями. После прочтения этой книги вы: узнаете как составлять грамотные, понятные и лаконичные деловые письма на английском языке получите в свой багаж более 60 шаблонов писем на английском для решения различных вопросов из практики отдела...","6 300 тг","3","Альпина Паблишер","2019 г.","9785961450330","320","Твердый","215 мм x 145 мм","485 г.","http://www.bookcity.kz/content/images/thumbs/5071321_1410874.jpeg"
"KINDERGARTEN TEACHER STUDENT'S BOOK (with DigiBooks)","Virginia E.","Серия CAREER PATHS  - это новый образовательный ресурс для специалистов и начинающих карьеру студентов,  которые хотят улучшить свое знание английского языка в рабочей среде. Каждый блок Student’s Book  (with DigiBooks) Teacher’s Pack with  Teacher’s Guide(Student’s Book, Teacher’s Guide,CDs, DigiBooks) помимо пособия с текстами и словаря оснащен  материалами  по четырем ключевым  языковым компонентам: чтение, аудирование, говорение и письмо. Это READER –  книга для чтения, ACTIVITY BOOK – тетрадь с заданиями для закрепления материала, СD – для аудирования, он-лайн платформа   - DIGI BOOKS  -  инновационный способ обучения с элементами геймификации для работы в аудиториях и дома.","10 100 тг","0","Express publishing","2016 г.","9781471533297","Мягкий","6 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5127500_1459996.jpeg"
"King Lear / Король Лир","Shakespeare W.","King Lear depicts the gradual descent into madness of the title character, an ageing British monarch. He intends to divide his monarchy among his three daughters, challenging them to to prove which of them loves him best. While two elder daughters play along, his youngest refuses to say anything. Her behavior enrages Lear and he banishes her forever, bringing tragic consequences for all.","2 900 тг","0","Пальмира","2017 г.","9785521001941","146","Мягкий","215 мм x 145 мм","160 г.","http://www.bookcity.kz/content/images/thumbs/5098487_1436442.jpeg"
"King Richard II = Ричард II: пьеса на англ.яз","William Shakespeare","Трагедия Уильяма Шекспира ""Ричард II"" на английском языке, входит в серию книг ""Зарубежная классика -читай в оригинале"". Эта коллекция собрана из бессмертных произведений великих мастеров пера, написанных ими на их родном языке. Книги из этой серии помогут читателю углублённо изучать иностранные языки, обогатят его внутренний мир и по-новому откроют произведения известных классиков. Учись английскому у Уильяма Шекспира! Пьеса: трагедия, драматургия, исторический роман.","2 600 тг","0","Т8 (Книга по Требованию)","2017 г.","9785519497930","104","Твердый","10 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5128041_1460529.jpeg"
